label,score_id,performance_id
match,p0n16,n14
match,p0n27,n20
match,p0n62,n52
match,p0n84,n73
match,p0n97,n84
match,p0n5,n3
match,p0n40,n34
match,p0n50,n41
match,p0n72,n60
match,p0n113,n98
match,p0n121,n105
match,p0n134,n117
match,p0n146,n128
match,p0n7,n5
match,p0n12,n9
match,p0n19,n16
match,p0n22,n19
match,p0n30,n24
match,p0n36,n30
match,p0n43,n36
match,p0n46,n39
match,p0n53,n44
match,p0n58,n49
match,p0n64,n54
match,p0n68,n58
match,p0n75,n64
match,p0n80,n69
match,p0n88,n76
match,p0n93,n81
match,p0n102,n88
match,p0n109,n95
match,p0n115,n100
match,p0n118,n103
match,p0n155,n136
match,p0n179,n158
match,p0n166,n146
match,p0n125,n109
match,p0n130,n114
match,p0n137,n118
match,p0n142,n125
match,p0n148,n130
match,p0n152,n134
match,p0n157,n138
match,p0n163,n144
match,p0n169,n148
match,p0n175,n154
match,p0n182,n160
match,p0n185,n162
match,p0n3,n2
match,p0n9,n7
match,p0n39,n32
match,p0n44,n37
match,p0n48,n40
match,p0n77,n66
match,p0n111,n97
match,p0n116,n101
match,p0n15,n12
match,p0n20,n17
match,p0n24,n21
match,p0n32,n27
match,p0n82,n72
match,p0n89,n77
match,p0n95,n83
match,p0n104,n90
match,p0n178,n156
match,p0n183,n161
match,p0n165,n145
match,p0n172,n151
match,p0n0,n0
match,p0n6,n4
match,p0n11,n10
match,p0n18,n15
match,p0n21,n18
match,p0n29,n23
match,p0n35,n29
match,p0n42,n35
match,p0n45,n38
match,p0n55,n46
match,p0n65,n55
match,p0n70,n61
match,p0n79,n68
match,p0n86,n75
match,p0n91,n80
match,p0n100,n87
match,p0n107,n93
match,p0n114,n99
match,p0n117,n102
match,p0n153,n135
match,p0n160,n140
match,p0n181,n159
match,p0n184,n163
match,p0n83,n71
match,p0n90,n78
match,p0n96,n82
match,p0n105,n91
match,p0n132,n116
match,p0n139,n122
match,p0n144,n127
match,p0n150,n132
match,p0n120,n106
match,p0n127,n111
match,p0n8,n6
match,p0n13,n13
match,p0n33,n26
match,p0n60,n51
match,p0n67,n57
match,p0n76,n65
match,p0n87,n74
match,p0n92,n79
match,p0n101,n86
match,p0n108,n94
match,p0n176,n157
match,p0n2,n1
match,p0n10,n8
match,p0n37,n33
match,p0n52,n43
match,p0n57,n48
match,p0n74,n63
match,p0n78,n67
match,p0n110,n96
match,p0n124,n108
match,p0n129,n113
match,p0n136,n120
match,p0n141,n124
match,p0n147,n129
match,p0n151,n133
match,p0n156,n137
match,p0n162,n143
match,p0n168,n147
match,p0n174,n153
match,p0n14,n11
match,p0n34,n28
match,p0n81,n70
match,p0n106,n92
match,p0n126,n110
match,p0n149,n131
match,p0n161,n142
match,p0n173,n152
match,p0n28,n22
match,p0n31,n25
match,p0n38,n31
match,p0n56,n47
match,p0n73,n62
match,p0n99,n85
match,p0n103,n89
match,p0n119,n104
match,p0n128,n112
match,p0n138,n121
match,p0n159,n141
match,p0n171,n150
match,p0n51,n42
match,p0n54,n45
match,p0n63,n53
match,p0n69,n59
match,p0n123,n107
match,p0n131,n115
match,p0n140,n123
match,p0n158,n139
match,p0n170,n149
match,p0n66,n56
match,p0n135,n119
match,p0n177,n155
match,p0n59,n50
match,p0n143,n126
deletion,p0n4,
deletion,p0n17,
deletion,p0n26,
deletion,p0n41,
deletion,p0n49,
deletion,p0n61,
deletion,p0n71,
deletion,p0n85,
deletion,p0n98,
deletion,p0n112,
deletion,p0n122,
deletion,p0n133,
deletion,p0n145,
deletion,p0n154,
deletion,p0n167,
deletion,p0n180,
