onset_sec,duration_sec,pitch,velocity,track,channel,id
0.0,1.1130208,59,44,0,0,n0
1.0213542,1.8817708,40,26,0,0,n1
1.0276042,1.3390625,64,49,0,0,n2
1.0458333,0.95677084,56,31,0,0,n3
1.5921875,0.78020835,59,37,0,0,n4
1.6114583,0.7864583,47,31,0,0,n5
1.975,0.9192708,63,63,0,0,n6
2.0026042,0.90052086,56,35,0,0,n7
2.3666666,0.5364583,64,67,0,0,n8
2.3723958,0.5307292,59,52,0,0,n9
2.3979166,0.5052083,47,37,0,0,n10
2.8671875,2.7979167,66,63,0,0,n11
2.8822916,0.8567708,57,40,0,0,n12
2.894271,2.3817708,63,45,0,0,n13
2.8984375,1.6151042,35,35,0,0,n14
3.3510416,0.78802085,59,40,0,0,n15
3.363021,0.7604167,47,31,0,0,n16
3.7390625,0.7760417,57,40,0,0,n17
4.1234374,0.784375,47,35,0,0,n18
4.1390624,0.75989586,59,42,0,0,n19
4.5135417,1.684375,35,37,0,0,n20
4.5151043,0.7661458,57,42,0,0,n21
4.898958,0.78697914,59,44,0,0,n22
4.9078126,0.78541666,47,37,0,0,n23
4.9078126,0.36770833,68,54,0,0,n24
5.275521,0.87083334,68,54,0,0,n25
5.2760415,0.921875,63,57,0,0,n26
5.28125,0.9166667,57,49,0,0,n27
5.6651044,0.5328125,66,65,0,0,n28
5.6859374,0.51197916,59,42,0,0,n29
5.693229,0.5052083,47,37,0,0,n30
6.146354,2.6958334,68,54,0,0,n31
6.1567707,0.81354165,56,41,0,0,n32
6.1651044,1.5723958,40,30,0,0,n33
6.1703124,2.6942708,64,44,0,0,n34
6.597396,0.7484375,59,42,0,0,n35
6.6161456,0.74635416,47,35,0,0,n36
6.9703126,0.7526042,56,44,0,0,n37
7.3458333,1.1578125,59,47,0,0,n38
7.3625,0.7609375,47,31,0,0,n39
7.7229166,1.5869792,56,41,0,0,n40
7.7375,1.571875,40,30,0,0,n41
8.1119795,0.36302084,69,58,0,0,n42
8.123438,0.73854166,47,31,0,0,n43
8.475,0.8354167,69,73,0,0,n44
8.503646,0.80677086,59,51,0,0,n45
8.842188,0.46770832,68,80,0,0,n46
8.8619795,0.4484375,47,40,0,0,n47
8.864583,0.44479167,64,39,0,0,n48
9.276042,1.5666667,73,79,0,0,n49
9.308854,1.5338541,35,37,0,0,n50
9.328646,0.38177082,63,37,0,0,n51
9.683854,1.1125,69,52,0,0,n52
9.708854,0.7135417,47,35,0,0,n53
9.710417,0.7161458,63,23,0,0,n54
9.723958,0.32291666,59,25,0,0,n55
10.046875,0.7604167,59,52,0,0,n56
10.404688,0.43802083,71,73,0,0,n57
10.422396,0.4203125,47,39,0,0,n58
10.426562,0.41614583,63,49,0,0,n59
10.796354,1.5817708,69,65,0,0,n60
10.802604,1.5755209,40,37,0,0,n61
10.807292,1.0875,59,45,0,0,n62
11.161979,1.2161459,68,63,0,0,n63
11.18125,0.70520836,64,54,0,0,n64
11.197396,0.69635415,47,31,0,0,n65
11.522917,0.85520834,63,65,0,0,n66
11.540625,0.8375,56,41,0,0,n67
11.886458,0.4921875,64,65,0,0,n68
11.89375,0.484375,47,40,0,0,n69
11.894792,0.48385417,59,52,0,0,n70
12.3411455,1.5760417,66,54,0,0,n71
12.354167,1.5630208,35,31,0,0,n72
12.369271,0.22916667,57,35,0,0,n73
12.377084,0.80625,61,31,0,0,n74
12.797396,0.44635418,47,28,0,0,n75
12.802604,0.7609375,59,37,0,0,n76
12.8151045,0.73802084,63,39,0,0,n77
13.183333,0.73229164,61,45,0,0,n78
13.197396,0.71979165,57,31,0,0,n79
13.24375,0.29427084,47,13,0,0,n80
13.538021,0.37916666,47,34,0,0,n81
13.553125,0.38541666,63,51,0,0,n82
13.563541,0.35364583,59,42,0,0,n83
13.915625,0.75989586,61,54,0,0,n84
13.917708,1.528125,35,40,0,0,n85
13.923437,0.73541665,57,32,0,0,n86
14.286979,0.36302084,68,61,0,0,n87
14.293229,0.759375,47,40,0,0,n88
14.3,1.1458334,63,37,0,0,n89
14.306771,0.7192708,59,39,0,0,n90
