idx,matchtype,partid,ppartid
0,0,p0n16,n14
1,0,p0n27,n20
2,0,p0n62,n50
3,0,p0n84,n72
4,0,p0n97,n85
5,0,p0n5,n1
6,0,p0n40,n33
7,0,p0n50,n41
8,0,p0n72,n61
9,0,p0n113,n98
10,0,p0n121,n105
11,0,p0n134,n118
12,0,p0n146,n129
13,0,p0n7,n5
14,0,p0n12,n10
15,0,p0n19,n16
16,0,p0n22,n18
17,0,p0n30,n23
18,0,p0n36,n30
19,0,p0n43,n36
20,0,p0n46,n39
21,0,p0n53,n43
22,0,p0n58,n47
23,0,p0n64,n53
24,0,p0n68,n58
25,0,p0n75,n65
26,0,p0n80,n69
27,0,p0n88,n75
28,0,p0n93,n81
29,0,p0n102,n88
30,0,p0n109,n96
31,0,p0n115,n100
32,0,p0n118,n104
33,0,p0n155,n137
34,0,p0n179,n157
35,0,p0n166,n147
36,0,p0n125,n110
37,0,p0n130,n113
38,0,p0n137,n121
39,0,p0n142,n126
40,0,p0n148,n131
41,0,p0n152,n134
42,0,p0n157,n139
43,0,p0n163,n144
44,0,p0n169,n148
45,0,p0n175,n155
46,0,p0n182,n161
47,0,p0n185,n164
48,0,p0n3,n3
49,0,p0n9,n7
50,0,p0n39,n32
51,0,p0n44,n37
52,0,p0n48,n40
53,0,p0n77,n67
54,0,p0n111,n99
55,0,p0n116,n102
56,0,p0n15,n12
57,0,p0n20,n17
58,0,p0n24,n21
59,0,p0n32,n27
60,0,p0n82,n73
61,0,p0n89,n79
62,0,p0n95,n86
63,0,p0n104,n92
64,0,p0n178,n159
65,0,p0n183,n162
66,0,p0n165,n146
67,0,p0n0,n0
68,0,p0n6,n4
69,0,p0n11,n9
70,0,p0n18,n15
71,0,p0n21,n19
72,0,p0n29,n22
73,0,p0n35,n29
74,0,p0n42,n35
75,0,p0n45,n38
76,0,p0n55,n45
77,0,p0n65,n56
78,0,p0n70,n62
79,0,p0n79,n70
80,0,p0n86,n76
81,0,p0n91,n83
82,0,p0n100,n90
83,0,p0n107,n95
84,0,p0n114,n101
85,0,p0n117,n103
86,0,p0n153,n136
87,0,p0n160,n141
88,0,p0n181,n160
89,0,p0n184,n163
90,0,p0n83,n74
91,0,p0n90,n78
92,0,p0n96,n84
93,0,p0n105,n93
94,0,p0n132,n117
95,0,p0n139,n123
96,0,p0n144,n128
97,0,p0n150,n133
98,0,p0n120,n106
99,0,p0n127,n112
100,0,p0n8,n6
101,0,p0n13,n13
102,0,p0n33,n26
103,0,p0n60,n51
104,0,p0n67,n59
105,0,p0n76,n66
106,0,p0n87,n77
107,0,p0n92,n82
108,0,p0n101,n89
109,0,p0n176,n158
110,0,p0n2,n2
111,0,p0n10,n8
112,0,p0n37,n34
113,0,p0n57,n48
114,0,p0n74,n64
115,0,p0n78,n68
116,0,p0n110,n97
117,0,p0n124,n109
118,0,p0n129,n114
119,0,p0n136,n120
120,0,p0n141,n125
121,0,p0n147,n130
122,0,p0n151,n135
123,0,p0n156,n138
124,0,p0n162,n145
125,0,p0n168,n149
126,0,p0n174,n154
127,0,p0n14,n11
128,0,p0n34,n28
129,0,p0n81,n71
130,0,p0n106,n94
131,0,p0n126,n111
132,0,p0n149,n132
133,0,p0n161,n143
134,0,p0n173,n153
135,0,p0n28,n24
136,0,p0n31,n25
137,0,p0n38,n31
138,0,p0n56,n46
139,0,p0n73,n63
140,0,p0n99,n87
141,0,p0n103,n91
142,0,p0n119,n107
143,0,p0n128,n115
144,0,p0n138,n122
145,0,p0n159,n142
146,0,p0n171,n152
147,0,p0n51,n42
148,0,p0n54,n44
149,0,p0n63,n52
150,0,p0n69,n60
151,0,p0n123,n108
152,0,p0n131,n116
153,0,p0n140,n124
154,0,p0n158,n140
155,0,p0n170,n150
156,0,p0n66,n57
157,0,p0n135,n119
158,0,p0n177,n156
159,0,p0n59,n49
160,0,p0n143,n127
161,1,p0n4,undefined
162,1,p0n17,undefined
163,1,p0n26,undefined
164,1,p0n41,undefined
165,1,p0n49,undefined
166,1,p0n52,undefined
167,1,p0n61,undefined
168,1,p0n71,undefined
169,1,p0n85,undefined
170,1,p0n98,undefined
171,1,p0n108,undefined
172,1,p0n112,undefined
173,1,p0n122,undefined
174,1,p0n133,undefined
175,1,p0n145,undefined
176,1,p0n154,undefined
177,1,p0n167,undefined
178,1,p0n172,undefined
179,1,p0n180,undefined
180,2,undefined,n54
181,2,undefined,n55
182,2,undefined,n80
183,2,undefined,n151
