velocity,timing,articulation,id
0.0,0.0,0.0,p0n0
0.0,0.0,0.0,p0n5
0.0,0.0,0.0,p0n4
0.0,0.0,0.0,p0n3
0.0,0.0,0.0,p0n2
0.0,0.0,0.0,p0n7
0.0,0.0,0.0,p0n6
0.0,0.0,0.0,p0n9
0.0,0.0,0.0,p0n8
0.0,0.0,0.0,p0n12
0.0,0.0,0.0,p0n11
0.0,0.0,0.0,p0n10
0.0,0.0,0.0,p0n16
0.0,0.0,0.0,p0n17
0.0,0.0,0.0,p0n15
0.0,0.0,0.0,p0n13
0.0,0.0,0.0,p0n14
0.0,0.0,0.0,p0n19
0.0,0.0,0.0,p0n18
0.0,0.0,0.0,p0n20
0.0,0.0,0.0,p0n22
0.0,0.0,0.0,p0n21
0.0,0.0,0.0,p0n27
0.0,0.0,0.0,p0n26
0.0,0.0,0.0,p0n24
0.0,0.0,0.0,p0n30
0.0,0.0,0.0,p0n29
0.0,0.0,0.0,p0n28
0.0,0.0,0.0,p0n32
0.0,0.0,0.0,p0n33
0.0,0.0,0.0,p0n31
0.0,0.0,0.0,p0n36
0.0,0.0,0.0,p0n35
0.0,0.0,0.0,p0n34
0.0,0.0,0.0,p0n40
0.0,0.0,0.0,p0n41
0.0,0.0,0.0,p0n39
0.0,0.0,0.0,p0n37
0.0,0.0,0.0,p0n38
0.0,0.0,0.0,p0n43
0.0,0.0,0.0,p0n42
0.0,0.0,0.0,p0n44
0.0,0.0,0.0,p0n46
0.0,0.0,0.0,p0n45
0.0,0.0,0.0,p0n50
0.0,0.0,0.0,p0n49
0.0,0.0,0.0,p0n48
0.0,0.0,0.0,p0n53
0.0,0.0,0.0,p0n52
0.0,0.0,0.0,p0n51
0.0,0.0,0.0,p0n55
0.0,0.0,0.0,p0n54
0.0,0.0,0.0,p0n58
0.0,0.0,0.0,p0n57
0.0,0.0,0.0,p0n56
0.0,0.0,0.0,p0n62
0.0,0.0,0.0,p0n61
0.0,0.0,0.0,p0n60
0.0,0.0,0.0,p0n59
0.0,0.0,0.0,p0n64
0.0,0.0,0.0,p0n63
0.0,0.0,0.0,p0n65
0.0,0.0,0.0,p0n68
0.0,0.0,0.0,p0n67
0.0,0.0,0.0,p0n66
0.0,0.0,0.0,p0n72
0.0,0.0,0.0,p0n71
0.0,0.0,0.0,p0n70
0.0,0.0,0.0,p0n69
0.0,0.0,0.0,p0n75
0.0,0.0,0.0,p0n74
0.0,0.0,0.0,p0n73
0.0,0.0,0.0,p0n77
0.0,0.0,0.0,p0n76
0.0,0.0,0.0,p0n80
0.0,0.0,0.0,p0n79
0.0,0.0,0.0,p0n78
0.0,0.0,0.0,p0n84
0.0,0.0,0.0,p0n85
0.0,0.0,0.0,p0n82
0.0,0.0,0.0,p0n83
0.0,0.0,0.0,p0n81
0.0,0.0,0.0,p0n88
0.0,0.0,0.0,p0n86
0.0,0.0,0.0,p0n87
0.0,0.0,0.0,p0n89
0.0,0.0,0.0,p0n90
0.0,0.0,0.0,p0n93
0.0,0.0,0.0,p0n91
0.0,0.0,0.0,p0n92
0.0,0.0,0.0,p0n97
0.0,0.0,0.0,p0n98
0.0,0.0,0.0,p0n95
0.0,0.0,0.0,p0n96
0.0,0.0,0.0,p0n102
0.0,0.0,0.0,p0n100
0.0,0.0,0.0,p0n101
0.0,0.0,0.0,p0n99
0.0,0.0,0.0,p0n104
0.0,0.0,0.0,p0n105
0.0,0.0,0.0,p0n103
0.0,0.0,0.0,p0n109
0.0,0.0,0.0,p0n107
0.0,0.0,0.0,p0n108
0.0,0.0,0.0,p0n106
0.0,0.0,0.0,p0n113
0.0,0.0,0.0,p0n112
0.0,0.0,0.0,p0n111
0.0,0.0,0.0,p0n110
0.0,0.0,0.0,p0n115
0.0,0.0,0.0,p0n114
