onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
-0.5,0.5,-0.5,0.5,0,2,59,1,p0n0
0.0,1.0,0.0,1.0,2,4,40,6,p0n5
0.0,0.25,0.0,0.25,2,1,40,5,p0n4
0.0,0.25,0.0,0.25,2,1,56,2,p0n3
0.0,0.5,0.0,0.5,2,2,64,1,p0n2
0.25,0.5,0.25,0.5,3,2,47,5,p0n7
0.25,0.25,0.25,0.25,3,1,59,2,p0n6
0.5,0.25,0.5,0.25,4,1,56,2,p0n9
0.5,0.25,0.5,0.25,4,1,63,1,p0n8
0.75,0.25,0.75,0.25,5,1,47,5,p0n12
0.75,0.25,0.75,0.25,5,1,59,2,p0n11
0.75,0.25,0.75,0.25,5,1,64,1,p0n10
1.0,0.25,1.0,0.25,6,1,35,5,p0n16
1.0,1.0,1.0,1.0,6,4,35,6,p0n17
1.0,0.25,1.0,0.25,6,1,57,2,p0n15
1.0,1.5,1.0,1.5,6,6,63,1,p0n13
1.0,1.25,1.0,1.25,6,5,66,1,p0n14
1.25,0.5,1.25,0.5,7,2,47,5,p0n19
1.25,0.25,1.25,0.25,7,1,59,2,p0n18
1.5,0.25,1.5,0.25,8,1,57,2,p0n20
1.75,0.25,1.75,0.25,9,1,47,5,p0n22
1.75,0.25,1.75,0.25,9,1,59,2,p0n21
2.0,1.0,2.0,1.0,10,4,35,6,p0n27
2.0,0.25,2.0,0.25,10,1,35,5,p0n26
2.0,0.25,2.0,0.25,10,1,57,2,p0n24
2.25,0.5,2.25,0.5,11,2,47,5,p0n30
2.25,0.25,2.25,0.25,11,1,59,2,p0n29
2.25,0.25,2.25,0.25,11,1,68,1,p0n28
2.5,0.25,2.5,0.25,12,1,57,2,p0n32
2.5,0.5,2.5,0.5,12,2,63,3,p0n33
2.5,0.25,2.5,0.25,12,1,68,1,p0n31
2.75,0.25,2.75,0.25,13,1,47,5,p0n36
2.75,0.25,2.75,0.25,13,1,59,2,p0n35
2.75,0.25,2.75,0.25,13,1,66,1,p0n34
3.0,0.25,3.0,0.25,14,1,40,5,p0n40
3.0,1.0,3.0,1.0,14,4,40,6,p0n41
3.0,0.25,3.0,0.25,14,1,56,2,p0n39
3.0,1.0,3.0,1.0,14,4,64,1,p0n37
3.0,1.25,3.0,1.25,14,5,68,1,p0n38
3.25,0.5,3.25,0.5,15,2,47,5,p0n43
3.25,0.25,3.25,0.25,15,1,59,2,p0n42
3.5,0.25,3.5,0.25,16,1,56,2,p0n44
3.75,0.25,3.75,0.25,17,1,47,5,p0n46
3.75,0.25,3.75,0.25,17,1,59,2,p0n45
4.0,1.0,4.0,1.0,18,4,40,6,p0n50
4.0,0.25,4.0,0.25,18,1,40,5,p0n49
4.0,0.25,4.0,0.25,18,1,56,2,p0n48
4.25,0.5,4.25,0.5,19,2,47,5,p0n53
4.25,0.25,4.25,0.25,19,1,64,2,p0n52
4.25,0.25,4.25,0.25,19,1,69,1,p0n51
4.5,0.25,4.5,0.25,20,1,59,2,p0n55
4.5,0.25,4.5,0.25,20,1,69,1,p0n54
4.75,0.25,4.75,0.25,21,1,47,5,p0n58
4.75,0.25,4.75,0.25,21,1,64,2,p0n57
4.75,0.25,4.75,0.25,21,1,68,1,p0n56
5.0,1.0,5.0,1.0,22,4,35,6,p0n62
5.0,0.25,5.0,0.25,22,1,35,5,p0n61
5.0,0.25,5.0,0.25,22,1,63,2,p0n60
5.0,0.75,5.0,0.75,22,3,73,1,p0n59
5.25,0.5,5.25,0.5,23,2,47,5,p0n64
5.25,0.25,5.25,0.25,23,1,69,2,p0n63
5.5,0.25,5.5,0.25,24,1,59,2,p0n65
5.75,0.25,5.75,0.25,25,1,47,5,p0n68
5.75,0.25,5.75,0.25,25,1,63,2,p0n67
5.75,0.25,5.75,0.25,25,1,71,1,p0n66
6.0,1.0,6.0,1.0,26,4,40,6,p0n72
6.0,0.25,6.0,0.25,26,1,40,5,p0n71
6.0,0.25,6.0,0.25,26,1,59,2,p0n70
6.0,0.25,6.0,0.25,26,1,69,1,p0n69
6.25,0.5,6.25,0.5,27,2,47,5,p0n75
6.25,0.25,6.25,0.25,27,1,64,2,p0n74
6.25,0.25,6.25,0.25,27,1,68,1,p0n73
6.5,0.25,6.5,0.25,28,1,56,2,p0n77
6.5,0.25,6.5,0.25,28,1,63,1,p0n76
6.75,0.25,6.75,0.25,29,1,47,5,p0n80
6.75,0.25,6.75,0.25,29,1,59,2,p0n79
6.75,0.25,6.75,0.25,29,1,64,1,p0n78
7.0,0.25,7.0,0.25,30,1,35,5,p0n84
