label,score_id,performance_id
match,p0n16,n14
match,p0n27,n26
match,p0n62,n66
match,p0n85,n105
match,p0n97,n118
match,p0n5,n3
match,p0n40,n44
match,p0n50,n52
match,p0n72,n82
match,p0n113,n140
match,p0n121,n153
match,p0n134,n165
match,p0n145,n183
match,p0n7,n6
match,p0n12,n11
match,p0n19,n22
match,p0n22,n25
match,p0n30,n31
match,p0n36,n36
match,p0n43,n46
match,p0n46,n51
match,p0n53,n58
match,p0n58,n64
match,p0n64,n71
match,p0n68,n80
match,p0n75,n86
match,p0n80,n94
match,p0n88,n103
match,p0n93,n115
match,p0n102,n123
match,p0n109,n135
match,p0n115,n142
match,p0n118,n146
match,p0n155,n192
match,p0n179,n217
match,p0n166,n204
match,p0n130,n155
match,p0n137,n171
match,p0n142,n180
match,p0n148,n186
match,p0n152,n190
match,p0n157,n196
match,p0n163,n201
match,p0n169,n206
match,p0n175,n212
match,p0n182,n221
match,p0n185,n228
match,p0n3,n4
match,p0n9,n10
match,p0n39,n39
match,p0n44,n47
match,p0n48,n50
match,p0n77,n87
match,p0n111,n138
match,p0n116,n143
match,p0n15,n18
match,p0n20,n23
match,p0n24,n28
match,p0n32,n33
match,p0n82,n99
match,p0n89,n108
match,p0n95,n117
match,p0n104,n128
match,p0n178,n215
match,p0n183,n225
match,p0n165,n203
match,p0n172,n209
match,p0n0,n0
match,p0n6,n5
match,p0n11,n15
match,p0n21,n24
match,p0n29,n29
match,p0n35,n37
match,p0n42,n45
match,p0n45,n49
match,p0n55,n61
match,p0n65,n73
match,p0n70,n81
match,p0n79,n95
match,p0n86,n112
match,p0n100,n124
match,p0n107,n134
match,p0n114,n141
match,p0n117,n147
match,p0n153,n193
match,p0n160,n198
match,p0n181,n224
match,p0n184,n229
match,p0n83,n98
match,p0n90,n109
match,p0n96,n116
match,p0n105,n127
match,p0n132,n166
match,p0n139,n176
match,p0n144,n184
match,p0n150,n189
match,p0n120,n152
match,p0n127,n159
match,p0n8,n8
match,p0n13,n19
match,p0n33,n34
match,p0n60,n67
match,p0n67,n77
match,p0n76,n88
match,p0n87,n104
match,p0n92,n113
match,p0n101,n122
match,p0n108,n133
match,p0n176,n216
match,p0n2,n1
match,p0n10,n16
match,p0n37,n43
match,p0n52,n57
match,p0n57,n62
match,p0n74,n84
match,p0n78,n92
match,p0n110,n137
match,p0n124,n156
match,p0n129,n162
match,p0n136,n172
match,p0n141,n179
match,p0n147,n185
match,p0n151,n191
match,p0n156,n194
match,p0n162,n202
match,p0n168,n205
match,p0n174,n211
match,p0n14,n17
match,p0n34,n38
match,p0n81,n106
match,p0n106,n132
match,p0n126,n158
match,p0n149,n188
match,p0n161,n200
match,p0n173,n213
match,p0n28,n30
match,p0n31,n32
match,p0n38,n40
match,p0n56,n63
match,p0n73,n83
match,p0n99,n121
match,p0n103,n126
match,p0n119,n151
match,p0n128,n161
match,p0n138,n175
match,p0n159,n197
match,p0n171,n210
match,p0n51,n56
match,p0n54,n59
match,p0n63,n70
match,p0n69,n79
match,p0n123,n154
match,p0n131,n164
match,p0n140,n181
match,p0n170,n208
match,p0n66,n76
match,p0n135,n170
match,p0n177,n214
match,p0n59,n68
match,p0n143,n182
deletion,p0n4,
deletion,p0n17,
deletion,p0n18,
deletion,p0n26,
deletion,p0n41,
deletion,p0n49,
deletion,p0n61,
deletion,p0n71,
deletion,p0n84,
deletion,p0n91,
deletion,p0n98,
deletion,p0n112,
deletion,p0n122,
deletion,p0n125,
deletion,p0n133,
deletion,p0n146,
deletion,p0n154,
deletion,p0n158,
deletion,p0n167,
deletion,p0n180,
insertion,,n2
insertion,,n7
insertion,,n9
insertion,,n12
insertion,,n13
insertion,,n20
insertion,,n21
insertion,,n27
insertion,,n35
insertion,,n41
insertion,,n42
insertion,,n48
insertion,,n53
insertion,,n54
insertion,,n55
insertion,,n60
insertion,,n65
insertion,,n69
insertion,,n72
insertion,,n74
insertion,,n75
insertion,,n78
insertion,,n85
insertion,,n89
insertion,,n90
insertion,,n91
insertion,,n93
insertion,,n96
insertion,,n97
insertion,,n100
insertion,,n101
insertion,,n102
insertion,,n107
insertion,,n110
insertion,,n111
insertion,,n114
insertion,,n119
insertion,,n120
insertion,,n125
insertion,,n129
insertion,,n130
insertion,,n131
insertion,,n136
insertion,,n139
insertion,,n144
insertion,,n145
insertion,,n148
insertion,,n149
insertion,,n150
insertion,,n157
insertion,,n160
insertion,,n163
insertion,,n167
insertion,,n168
insertion,,n169
insertion,,n173
insertion,,n174
insertion,,n177
insertion,,n178
insertion,,n187
insertion,,n195
insertion,,n199
insertion,,n207
insertion,,n218
insertion,,n219
insertion,,n220
insertion,,n222
insertion,,n223
insertion,,n226
insertion,,n227
