onset_sec,duration_sec,pitch,velocity,track,channel,id
0.0,0.975,59,101,0,0,n0
0.95208335,1.3135417,64,78,0,0,n1
0.98645836,1.3135417,52,59,0,0,n2
0.99895835,0.8125,40,83,0,0,n3
0.99895835,0.84791666,56,71,0,0,n4
1.834375,0.5125,59,56,0,0,n5
1.8572917,1.034375,47,78,0,0,n6
1.9625,0.29166666,40,49,0,0,n7
2.334375,0.5104167,63,104,0,0,n8
2.346875,0.5572917,59,66,0,0,n9
2.38125,0.42916667,56,69,0,0,n10
2.8916667,0.859375,47,81,0,0,n11
3.0197916,0.15104167,52,46,0,0,n12
3.159375,0.278125,76,49,0,0,n13
3.5072916,1.684375,35,59,0,0,n14
3.5302083,0.0010416667,59,47,0,0,n15
3.5302083,0.0010416667,64,43,0,0,n16
3.565625,1.4645833,66,58,0,0,n17
3.5885417,1.1270833,57,69,0,0,n18
3.728125,0.55833334,63,71,0,0,n19
3.7864583,0.13958333,69,43,0,0,n20
4.008333,0.15104167,54,45,0,0,n21
4.2864585,0.95208335,47,79,0,0,n22
4.7166667,1.1145834,57,74,0,0,n23
5.227083,0.5104167,59,48,0,0,n24
5.2385416,0.5229167,47,79,0,0,n25
5.5052085,1.2083334,35,58,0,0,n26
5.7614584,0.45416668,47,50,0,0,n27
5.83125,0.47708333,57,81,0,0,n28
6.319792,1.0677084,59,68,0,0,n29
6.319792,0.49895832,68,101,0,0,n30
6.4010415,0.38333333,47,62,0,0,n31
6.81875,0.49895832,68,79,0,0,n32
6.8416667,0.49895832,57,64,0,0,n33
6.8541665,0.56875,63,82,0,0,n34
7.0510416,0.1625,35,42,0,0,n35
7.3875,0.91875,47,81,0,0,n36
7.3875,0.6510417,59,70,0,0,n37
7.3875,0.534375,66,63,0,0,n38
8.028125,0.9635417,56,54,0,0,n39
8.028125,1.21875,68,89,0,0,n40
8.039583,1.5791667,52,57,0,0,n41
8.039583,0.13958333,59,61,0,0,n42
8.0625,1.2885417,64,76,0,0,n43
8.109375,1.4739584,40,71,0,0,n44
8.7125,0.9291667,59,70,0,0,n45
8.735416,0.9291667,47,83,0,0,n46
9.165625,0.4875,56,84,0,0,n47
9.44375,0.17395833,68,50,0,0,n48
9.641666,1.0229167,59,80,0,0,n49
9.653125,0.5,56,54,0,0,n50
9.664583,0.72083336,47,79,0,0,n51
9.815625,0.26875,40,54,0,0,n52
10.153125,0.56875,56,90,0,0,n53
10.246875,0.44166666,40,58,0,0,n54
10.246875,0.13958333,52,48,0,0,n55
10.734375,0.5104167,69,105,0,0,n56
10.757292,0.975,64,79,0,0,n57
11.244792,0.0010416667,47,69,0,0,n58
11.244792,0.4875,69,103,0,0,n59
11.720834,0.23333333,52,40,0,0,n60
11.732291,0.0010416667,59,66,0,0,n61
11.732291,0.628125,64,98,0,0,n62
11.732291,0.60520834,68,100,0,0,n63
11.790625,0.5239583,47,88,0,0,n64
12.3375,0.22083333,68,62,0,0,n65
12.371875,1.509375,35,77,0,0,n66
12.371875,0.615625,63,70,0,0,n67
12.384375,1.0447917,73,78,0,0,n68
12.813541,0.91770834,54,44,0,0,n69
12.941667,0.8822917,69,71,0,0,n70
13.185416,0.196875,47,43,0,0,n71
13.429167,0.6166667,47,71,0,0,n72
13.429167,0.5,59,95,0,0,n73
13.765625,0.15208334,71,46,0,0,n74
13.929167,0.696875,59,61,0,0,n75
13.929167,0.6614583,71,81,0,0,n76
13.940625,0.58020836,63,66,0,0,n77
14.172916,0.30208334,35,50,0,0,n78
14.579166,0.534375,69,82,0,0,n79
14.590625,0.0010416667,47,51,0,0,n80
14.626041,0.5229167,59,67,0,0,n81
14.660417,0.859375,40,78,0,0,n82
15.113542,0.46458334,68,92,0,0,n83
15.147917,0.40625,64,83,0,0,n84
15.160417,0.34791666,52,59,0,0,n85
15.171875,0.39479166,47,79,0,0,n86
15.555208,1.0697917,56,60,0,0,n87
15.555208,0.47708333,63,102,0,0,n88
15.566667,0.31354168,52,44,0,0,n89
15.69375,0.35,47,52,0,0,n90
15.775,0.16354166,40,51,0,0,n91
16.032291,0.696875,64,102,0,0,n92
16.04375,0.59166664,52,50,0,0,n93
16.055208,0.9635417,47,76,0,0,n94
16.055208,0.63854164,59,78,0,0,n95
16.253124,0.38333333,76,42,0,0,n96
16.334375,0.24375,40,47,0,0,n97
16.728125,0.65,61,91,0,0,n98
16.752083,0.67291665,57,75,0,0,n99
16.752083,0.7083333,66,94,0,0,n100
16.833334,0.5229167,35,65,0,0,n101
17.273958,0.18541667,54,39,0,0,n102
17.390625,0.75625,47,56,0,0,n103
17.390625,0.94166666,63,72,0,0,n104
17.494791,0.41875,35,58,0,0,n105
17.5875,0.73229164,66,53,0,0,n106
17.611458,0.23229167,54,45,0,0,n107
17.878124,0.48854166,57,72,0,0,n108
17.879168,0.4875,61,87,0,0,n109
17.995832,0.26666668,54,45,0,0,n110
18.064583,0.13958333,35,42,0,0,n111
18.332293,0.47604167,59,69,0,0,n112
18.332293,0.76666665,63,73,0,0,n113
18.332293,0.15104167,66,47,0,0,n114
18.34375,0.453125,47,73,0,0,n115
18.83125,0.62708336,61,93,0,0,n116
