idx,matchtype,partid,ppartid
0,0,p0n16,n14
1,0,p0n27,n26
2,0,p0n62,n66
3,0,p0n85,n105
4,0,p0n97,n118
5,0,p0n5,n3
6,0,p0n40,n44
7,0,p0n50,n52
8,0,p0n72,n82
9,0,p0n113,n140
10,0,p0n121,n153
11,0,p0n134,n165
12,0,p0n145,n183
13,0,p0n7,n6
14,0,p0n12,n11
15,0,p0n19,n22
16,0,p0n22,n25
17,0,p0n30,n31
18,0,p0n36,n36
19,0,p0n43,n46
20,0,p0n46,n51
21,0,p0n53,n58
22,0,p0n58,n64
23,0,p0n64,n71
24,0,p0n68,n80
25,0,p0n75,n86
26,0,p0n80,n94
27,0,p0n88,n103
28,0,p0n93,n115
29,0,p0n102,n123
30,0,p0n109,n135
31,0,p0n115,n142
32,0,p0n118,n146
33,0,p0n155,n192
34,0,p0n179,n217
35,0,p0n166,n204
36,0,p0n130,n155
37,0,p0n137,n171
38,0,p0n142,n180
39,0,p0n148,n186
40,0,p0n152,n190
41,0,p0n157,n196
42,0,p0n163,n201
43,0,p0n169,n206
44,0,p0n175,n212
45,0,p0n182,n221
46,0,p0n185,n228
47,0,p0n3,n4
48,0,p0n9,n10
49,0,p0n39,n39
50,0,p0n44,n47
51,0,p0n48,n50
52,0,p0n77,n87
53,0,p0n111,n138
54,0,p0n116,n143
55,0,p0n15,n18
56,0,p0n20,n23
57,0,p0n24,n28
58,0,p0n32,n33
59,0,p0n82,n99
60,0,p0n89,n108
61,0,p0n95,n117
62,0,p0n104,n128
63,0,p0n178,n215
64,0,p0n183,n225
65,0,p0n165,n203
66,0,p0n172,n209
67,0,p0n0,n0
68,0,p0n6,n5
69,0,p0n11,n15
70,0,p0n21,n24
71,0,p0n29,n29
72,0,p0n35,n37
73,0,p0n42,n45
74,0,p0n45,n49
75,0,p0n55,n61
76,0,p0n65,n73
77,0,p0n70,n81
78,0,p0n79,n95
79,0,p0n86,n112
80,0,p0n100,n124
81,0,p0n107,n134
82,0,p0n114,n141
83,0,p0n117,n147
84,0,p0n153,n193
85,0,p0n160,n198
86,0,p0n181,n224
87,0,p0n184,n229
88,0,p0n83,n98
89,0,p0n90,n109
90,0,p0n96,n116
91,0,p0n105,n127
92,0,p0n132,n166
93,0,p0n139,n176
94,0,p0n144,n184
95,0,p0n150,n189
96,0,p0n120,n152
