onset_sec,duration_sec,pitch,velocity,track,channel,id
0.003125,1.09375,59,21,0,0,n0
0.9625,1.8947917,64,39,0,0,n1
0.9875,1.4104167,56,24,0,0,n2
0.9947917,2.503125,40,23,0,0,n3
1.8302083,1.0270833,59,26,0,0,n4
1.85625,1.0010417,47,23,0,0,n5
2.3510416,0.62083334,63,47,0,0,n6
2.3979166,1.1,56,27,0,0,n7
2.8572917,0.8520833,64,56,0,0,n8
2.8927083,0.85729164,47,34,0,0,n9
2.8989584,0.73229164,59,38,0,0,n10
3.5166667,2.41875,66,49,0,0,n11
3.528125,0.578125,57,40,0,0,n12
3.5291667,1.9020833,63,43,0,0,n13
3.5614583,1.8166667,35,32,0,0,n14
4.234375,0.53541666,59,27,0,0,n15
4.28125,0.45625,47,29,0,0,n16
4.7302084,0.45729166,57,32,0,0,n17
5.2322917,0.62916666,59,24,0,0,n18
5.234375,0.609375,47,20,0,0,n19
5.7541666,2.2833333,35,28,0,0,n20
5.7552085,1.0989584,57,31,0,0,n21
6.3260417,0.49583334,68,53,0,0,n22
6.344792,1.003125,59,31,0,0,n23
6.373958,0.9739583,47,23,0,0,n24
6.821875,0.65,68,51,0,0,n25
6.85,0.57916665,63,40,0,0,n26
6.8541665,0.49375,57,34,0,0,n27
7.3385415,0.85,66,50,0,0,n28
7.38125,0.65625,59,40,0,0,n29
7.3864584,0.84166664,47,26,0,0,n30
8.040625,2.7270834,68,53,0,0,n31
8.071875,0.62083334,56,21,0,0,n32
8.071875,2.2625,64,36,0,0,n33
8.072917,1.7208333,40,25,0,0,n34
8.716666,0.54479164,59,24,0,0,n35
8.729167,0.521875,47,21,0,0,n36
9.176042,0.47708333,56,25,0,0,n37
9.651042,0.5729167,59,32,0,0,n38
9.659375,0.5625,47,23,0,0,n39
10.157291,0.61041665,56,27,0,0,n40
10.169791,2.1583333,40,11,0,0,n41
10.740625,0.496875,69,53,0,0,n42
10.766666,0.47083333,64,38,0,0,n43
10.776042,0.95208335,47,26,0,0,n44
11.244792,0.59583336,69,61,0,0,n45
11.282291,0.48958334,59,41,0,0,n46
11.722917,0.825,68,59,0,0,n47
11.73125,0.596875,64,42,0,0,n48
11.766666,0.84270835,47,27,0,0,n49
12.33125,1.646875,73,59,0,0,n50
12.378125,0.6645833,63,35,0,0,n51
12.413542,2.3489583,35,26,0,0,n52
12.94375,1.034375,69,37,0,0,n53
12.996875,0.98125,47,20,0,0,n54
13.421875,0.73229164,59,35,0,0,n55
13.935416,0.7135417,71,51,0,0,n56
13.948958,0.8364583,63,31,0,0,n57
13.980208,0.7552083,47,24,0,0,n58
14.594791,0.596875,69,42,0,0,n59
14.617708,2.2927084,40,28,0,0,n60
14.632292,0.50416666,59,30,0,0,n61
15.107291,0.9,68,49,0,0,n62
15.146875,0.19791667,64,32,0,0,n63
15.1625,0.84479165,47,23,0,0,n64
15.553125,0.59166664,63,51,0,0,n65
15.572917,1.134375,56,36,0,0,n66
16.038542,0.7916667,64,54,0,0,n67
16.059376,0.75104165,59,39,0,0,n68
16.063541,0.8989583,47,26,0,0,n69
16.703125,2.3479166,66,53,0,0,n70
16.734375,0.73229164,61,41,0,0,n71
16.736458,0.66979164,57,29,0,0,n72
16.75625,1.80625,35,27,0,0,n73
17.392708,0.51666665,63,43,0,0,n74
17.405209,0.42604166,59,29,0,0,n75
17.425,0.44895834,47,28,0,0,n76
17.88125,0.42395833,57,33,0,0,n77
17.885416,0.44583333,61,39,0,0,n78
