idx,matchtype,partid,ppartid
0,0,p0n16,n14
1,0,p0n27,n20
2,0,p0n62,n52
3,0,p0n84,n73
4,0,p0n97,n84
5,0,p0n5,n3
6,0,p0n40,n34
7,0,p0n50,n41
8,0,p0n72,n60
9,0,p0n113,n98
10,0,p0n121,n105
11,0,p0n134,n117
12,0,p0n146,n128
13,0,p0n7,n5
14,0,p0n12,n9
15,0,p0n19,n16
16,0,p0n22,n19
17,0,p0n30,n24
18,0,p0n36,n30
19,0,p0n43,n36
20,0,p0n46,n39
21,0,p0n53,n44
22,0,p0n58,n49
23,0,p0n64,n54
24,0,p0n68,n58
25,0,p0n75,n64
26,0,p0n80,n69
27,0,p0n88,n76
28,0,p0n93,n81
29,0,p0n102,n88
30,0,p0n109,n95
31,0,p0n115,n100
32,0,p0n118,n103
33,0,p0n155,n136
34,0,p0n179,n158
35,0,p0n166,n146
36,0,p0n125,n109
37,0,p0n130,n114
38,0,p0n137,n118
39,0,p0n142,n125
40,0,p0n148,n130
41,0,p0n152,n134
42,0,p0n157,n138
43,0,p0n163,n144
44,0,p0n169,n148
45,0,p0n175,n154
46,0,p0n182,n160
47,0,p0n185,n162
48,0,p0n3,n2
49,0,p0n9,n7
50,0,p0n39,n32
51,0,p0n44,n37
52,0,p0n48,n40
53,0,p0n77,n66
54,0,p0n111,n97
55,0,p0n116,n101
56,0,p0n15,n12
57,0,p0n20,n17
58,0,p0n24,n21
59,0,p0n32,n27
60,0,p0n82,n72
61,0,p0n89,n77
62,0,p0n95,n83
63,0,p0n104,n90
64,0,p0n178,n156
65,0,p0n183,n161
66,0,p0n165,n145
67,0,p0n172,n151
68,0,p0n0,n0
69,0,p0n6,n4
70,0,p0n11,n10
71,0,p0n18,n15
72,0,p0n21,n18
73,0,p0n29,n23
74,0,p0n35,n29
75,0,p0n42,n35
76,0,p0n45,n38
77,0,p0n55,n46
78,0,p0n65,n55
79,0,p0n70,n61
80,0,p0n79,n68
81,0,p0n86,n75
82,0,p0n91,n80
83,0,p0n100,n87
84,0,p0n107,n93
85,0,p0n114,n99
86,0,p0n117,n102
87,0,p0n153,n135
88,0,p0n160,n140
89,0,p0n181,n159
90,0,p0n184,n163
91,0,p0n83,n71
92,0,p0n90,n78
93,0,p0n96,n82
94,0,p0n105,n91
95,0,p0n132,n116
96,0,p0n139,n122
97,0,p0n144,n127
98,0,p0n150,n132
99,0,p0n120,n106
100,0,p0n127,n111
101,0,p0n8,n6
102,0,p0n13,n13
103,0,p0n33,n26
104,0,p0n60,n51
105,0,p0n67,n57
106,0,p0n76,n65
107,0,p0n87,n74
108,0,p0n92,n79
109,0,p0n101,n86
110,0,p0n108,n94
111,0,p0n176,n157
112,0,p0n2,n1
113,0,p0n10,n8
114,0,p0n37,n33
115,0,p0n52,n43
116,0,p0n57,n48
117,0,p0n74,n63
118,0,p0n78,n67
119,0,p0n110,n96
120,0,p0n124,n108
121,0,p0n129,n113
122,0,p0n136,n120
123,0,p0n141,n124
124,0,p0n147,n129
125,0,p0n151,n133
126,0,p0n156,n137
127,0,p0n162,n143
128,0,p0n168,n147
129,0,p0n174,n153
130,0,p0n14,n11
131,0,p0n34,n28
132,0,p0n81,n70
133,0,p0n106,n92
134,0,p0n126,n110
135,0,p0n149,n131
136,0,p0n161,n142
137,0,p0n173,n152
138,0,p0n28,n22
139,0,p0n31,n25
140,0,p0n38,n31
141,0,p0n56,n47
142,0,p0n73,n62
143,0,p0n99,n85
144,0,p0n103,n89
145,0,p0n119,n104
146,0,p0n128,n112
147,0,p0n138,n121
148,0,p0n159,n141
149,0,p0n171,n150
150,0,p0n51,n42
151,0,p0n54,n45
152,0,p0n63,n53
153,0,p0n69,n59
154,0,p0n123,n107
155,0,p0n131,n115
156,0,p0n140,n123
157,0,p0n158,n139
158,0,p0n170,n149
159,0,p0n66,n56
160,0,p0n135,n119
161,0,p0n177,n155
162,0,p0n59,n50
163,0,p0n143,n126
164,1,p0n4,undefined
165,1,p0n17,undefined
166,1,p0n26,undefined
167,1,p0n41,undefined
168,1,p0n49,undefined
169,1,p0n61,undefined
170,1,p0n71,undefined
171,1,p0n85,undefined
172,1,p0n98,undefined
173,1,p0n112,undefined
174,1,p0n122,undefined
175,1,p0n133,undefined
176,1,p0n145,undefined
177,1,p0n154,undefined
178,1,p0n167,undefined
179,1,p0n180,undefined
